49 ,53 ,54 
48 ,52 ,53 
46 ,50 ,51 
44 ,48 ,49 
43 ,47 ,48 
42 ,46 ,47 
41 ,45 ,46 
41 ,45 ,46 
43 ,47 ,48 
41 ,45 ,46 
39 ,43 ,44 
40 ,44 ,45 
42 ,46 ,47 
42 ,46 ,47 
38 ,42 ,43 
34 ,38 ,39 
37 ,41 ,42 
39 ,43 ,44 
40 ,44 ,45 
37 ,41 ,42 
37 ,41 ,42 
38 ,42 ,43 
37 ,41 ,42 
34 ,38 ,39 
39 ,42 ,46 
38 ,41 ,45 
36 ,39 ,43 
33 ,36 ,40 
34 ,37 ,41 
37 ,40 ,44 
37 ,40 ,44 
33 ,36 ,40 
34 ,37 ,41 
33 ,36 ,40 
32 ,35 ,39 
31 ,34 ,38 
31 ,34 ,38 
31 ,34 ,38 
31 ,34 ,38 
31 ,34 ,38 
32 ,36 ,37 
32 ,36 ,37 
31 ,35 ,36 
30 ,34 ,35 
30 ,34 ,35 
29 ,33 ,34 
28 ,32 ,33 
28 ,32 ,33 
30 ,34 ,35 
30 ,34 ,35 
30 ,34 ,35 
28 ,32 ,33 
27 ,31 ,32 
27 ,31 ,32 
28 ,32 ,33 
30 ,34 ,35 
30 ,34 ,35 
29 ,33 ,34 
28 ,32 ,33 
27 ,31 ,32 
27 ,31 ,32 
27 ,31 ,32 
27 ,31 ,32 
27 ,31 ,32 
29 ,33 ,34 
27 ,31 ,32 
26 ,30 ,31 
26 ,30 ,31 
27 ,31 ,32 
29 ,33 ,34 
29 ,33 ,34 
29 ,33 ,34 
26 ,28 ,36 
28 ,31 ,36 
28 ,31 ,35 
27 ,31 ,32 
25 ,29 ,30 
25 ,28 ,32 
25 ,28 ,33 
25 ,27 ,35 
23 ,26 ,31 
23 ,26 ,31 
23 ,26 ,31 
23 ,26 ,30 
23 ,26 ,30 
23 ,27 ,28 
23 ,27 ,28 
23 ,27 ,28 
18 ,21 ,25 
21 ,24 ,28 
22 ,25 ,29 
21 ,24 ,28 
21 ,24 ,28 
23 ,26 ,30 
23 ,26 ,30 
20 ,23 ,27 
19 ,21 ,22 
26 ,28 ,29 
23 ,25 ,26 
18 ,20 ,21 
22 ,24 ,25 
24 ,26 ,27 
21 ,23 ,24 
20 ,22 ,23 
19 ,23 ,24 
18 ,22 ,23 
17 ,21 ,22 
19 ,23 ,24 
21 ,25 ,26 
22 ,26 ,27 
21 ,25 ,26 
21 ,25 ,26 
18 ,22 ,23 
20 ,24 ,25 
18 ,22 ,23 
15 ,19 ,20 
15 ,19 ,20 
18 ,22 ,23 
20 ,24 ,25 
18 ,22 ,23 
16 ,20 ,21 
18 ,22 ,23 
19 ,23 ,24 
19 ,23 ,24 
18 ,22 ,23 
17 ,21 ,22 
17 ,21 ,22 
18 ,22 ,23 
21 ,26 ,27 
21 ,26 ,27 
20 ,25 ,26 
17 ,22 ,23 
15 ,20 ,21 
15 ,20 ,21 
16 ,21 ,22 
16 ,21 ,22 
22 ,26 ,27 
21 ,25 ,26 
20 ,24 ,25 
19 ,23 ,24 
18 ,22 ,23 
18 ,22 ,23 
21 ,25 ,26 
23 ,27 ,28 
20 ,24 ,25 
17 ,21 ,22 
16 ,20 ,21 
18 ,22 ,23 
17 ,21 ,22 
15 ,19 ,20 
14 ,18 ,19 
17 ,21 ,22 
18 ,20 ,21 
19 ,23 ,24 
11 ,19 ,19 
8 ,18 ,18 
17 ,25 ,25 
18 ,23 ,24 
19 ,18 ,20 
25 ,22 ,24 
21 ,23 ,24 
19 ,21 ,22 
16 ,18 ,19 
16 ,18 ,19 
17 ,19 ,20 
18 ,20 ,21 
18 ,20 ,21 
17 ,19 ,20 
0 ,17 ,14 
17 ,19 ,19 
22 ,17 ,19 
25 ,22 ,24 
23 ,20 ,22 
23 ,17 ,22 
25 ,26 ,30 
6 ,21 ,23 
17 ,11 ,16 
14 ,35 ,26 
35 ,80 ,61 
50 ,92 ,75 
34 ,57 ,52 
3 ,19 ,18 
41 ,73 ,62 
42 ,94 ,70 
38 ,84 ,65 
21 ,29 ,18 
29 ,27 ,26 
32 ,20 ,140 
48 ,17 ,234 
62 ,84 ,90 
55 ,94 ,42 
18 ,63 ,54 
16 ,14 ,4 
8 ,35 ,2 
26 ,23 ,149 
25 ,0 ,240 
19 ,0 ,211 
26 ,8 ,199 
24 ,5 ,198 
27 ,5 ,214 
28 ,6 ,209 
32 ,66 ,90 
